split,layers,iterations,batch,dataset,NLL,ACC,AUC,time
0,1,150000,100,SUSY,0.4327824713891967,0.799934,0.8733288973857485,1149.359789214
0,1,300000,100,SUSY,0.4321940668242368,0.800154,0.872932732997619,2368.0000404380003
0,1,500000,100,SUSY,0.4368841047843134,0.797662,0.8727651119387004,3837.152752403
0,2,150000,100,SUSY,0.4294334928331211,0.800958,0.8751970367950526,9113.491346104
0,2,300000,100,SUSY,0.4280533175914319,0.802126,0.8752122234390203,17798.33172304
0,2,500000,100,SUSY,0.4321594069316427,0.7999,0.87495378422454,31233.03177672
0,3,150000,100,SUSY,0.4286979183207534,0.801252,0.8755190649069454,18522.024148888
0,3,300000,100,SUSY,0.427661433317974,0.80238,0.8754334347220872,32774.964657163
0,3,500000,100,SUSY,0.4314402594489634,0.800758,0.8751720926154601,123088.287285059
0,4,150000,100,SUSY,0.4287140331543107,0.80097,0.8755036279329859,26912.881540523
0,4,300000,100,SUSY,0.4277399989265729,0.80239,0.8753556069290933,49718.307149018
0,4,500000,100,SUSY,0.431643082157356,0.80067,0.8751251741070031,174560.799046815
0,5,150000,100,SUSY,0.4292546963635376,0.80102,0.8752460855824041,31369.476692347
0,5,300000,100,SUSY,0.4280102241405409,0.802272,0.87523139109316,63915.177497835
0,5,500000,100,SUSY,0.4322994781839839,0.799834,0.8749637647497304,100173.042715275
