epochs,iterations,vip_layers,bnn_layer_str,time,LOSS,NLL,Error,AUC
3,150000,[1],BayesLinear,1240.463925819,4373.5732421875,0.4273298978805542,0.1974748969078064,0.8758795857429504
3,150000,[1],SimplerBayesLinear,1235.560044896,4734.60498046875,0.4614059329032898,0.2144035100936889,0.8549367785453796
7,300000,[1],BayesLinear,2459.993750018,4364.36279296875,0.4263546466827392,0.1966980099678039,0.8765987157821655
7,300000,[1],SimplerBayesLinear,2595.028453189,4698.671875,0.4569925367832184,0.213183045387268,0.8569110631942749
11,500000,[1],BayesLinear,4008.116206318,4358.29833984375,0.4257779419422149,0.1967188715934753,0.8769620656967163
11,500000,[1],SimplerBayesLinear,4587.2497387,4704.30712890625,0.4569616317749023,0.2132832407951355,0.8572549223899841
3,150000,[2],BayesLinear,2161.7643116380004,5161.82958984375,0.4285590350627899,0.1980308294296264,0.8749939799308777
3,150000,[2],SimplerBayesLinear,2484.0359140080004,5623.275390625,0.4319120943546295,0.1993956565856933,0.8730670809745789
7,300000,[2],BayesLinear,4321.896851476,5080.6015625,0.427471250295639,0.197174072265625,0.8759636282920837
7,300000,[2],SimplerBayesLinear,4681.055817094,5668.18212890625,0.4311989247798919,0.1989427804946899,0.873678982257843
11,500000,[2],BayesLinear,24700.141771163,5123.595703125,0.4258851706981659,0.1968631744384765,0.8767296075820923
11,500000,[2],SimplerBayesLinear,8077.523382507,5757.8212890625,0.4299938380718231,0.1987245678901672,0.874282956123352
3,150000,[3],BayesLinear,3113.394222963,5520.1640625,0.4284713268280029,0.1981763243675232,0.8754085898399353
3,150000,[3],SimplerBayesLinear,2415.887268737,6404.07421875,0.4308766722679138,0.1992312669754028,0.8735600709915161
7,300000,[3],BayesLinear,6362.061779679,5326.447265625,0.4271122217178345,0.1976062059402465,0.8761099576950073
7,300000,[3],SimplerBayesLinear,6539.270707082001,6480.16748046875,0.4294820427894592,0.1987670660018921,0.8743207454681396
11,500000,[3],BayesLinear,10857.614222887,5251.70849609375,0.4263151884078979,0.1971303224563598,0.8764663338661194
11,500000,[3],SimplerBayesLinear,11671.194222838,6639.5107421875,0.4290495216846466,0.1986773610115051,0.8749139308929443
3,150000,[4],BayesLinear,4113.544480674,6162.4306640625,0.4308655858039856,0.198982298374176,0.873950183391571
3,150000,[4],SimplerBayesLinear,2931.708438606,7176.50341796875,0.430265724658966,0.1988210082054138,0.874018132686615
7,300000,[4],BayesLinear,8325.376995666,5667.98388671875,0.4284766018390655,0.1979307532310485,0.8753092885017395
7,300000,[4],SimplerBayesLinear,9033.046771041,7303.41796875,0.4291087985038757,0.1981846094131469,0.875002384185791
11,500000,[4],BayesLinear,14288.055139529,5515.16455078125,0.4270061552524566,0.1972417831420898,0.8761308789253235
11,500000,[4],SimplerBayesLinear,15098.472918223,7556.0048828125,0.4278860092163086,0.1977465748786926,0.8755000233650208
3,150000,[5],BayesLinear,5043.585113701,6742.9228515625,0.4448037445545196,0.2068232893943786,0.865063488483429
3,150000,[5],SimplerBayesLinear,5412.944225489,7771.25439453125,0.4321688711643219,0.1998812556266784,0.8727847337722778
7,300000,[5],BayesLinear,10352.845845152,6630.0,0.4431463778018951,0.2052896618843078,0.8657634854316711
7,300000,[5],SimplerBayesLinear,11140.61780551,7858.44970703125,0.4291418194770813,0.1984159350395202,0.8747652173042297
11,500000,[5],BayesLinear,17590.817254043,7079.46533203125,0.4468744993209839,0.2077840566635131,0.8632856011390686
11,500000,[5],SimplerBayesLinear,18785.863612503,8145.7880859375,0.4278077483177185,0.1978892087936401,0.8756895065307617
