,LOSS,RMSE,NLL,CRPS
0,1328.0527,4.0047655,4.820229,4.4354243
1,1154.6003,3.7253428,4.4852247,4.0228252
2,3178.0732,5.464039,8.671307,4.9876876
3,982.4877,3.5565932,4.106173,5.0117536
4,932.8118,3.5455358,4.002811,3.9192977
5,1203.3644,3.9937744,4.5403366,5.944813
6,649.7447,3.1317983,3.4262836,4.5480685
7,1969.547,4.4916945,6.0711374,4.539862
8,2812.52,5.5362153,7.8845882,5.1548014
9,985.89594,3.534862,4.0977464,4.013965
10,914.1218,3.5376537,3.9755452,4.6877713
11,1440.0692,3.823479,5.072801,5.2261724
12,1054.3048,3.53488,4.2591443,3.9566264
13,3733.0352,6.127369,9.644868,5.050782
14,1386.9805,4.062209,4.9359045,4.738117
15,814.0496,3.1907158,3.7192261,5.858241
16,1681.441,4.401089,5.530237,4.872335
17,1063.8748,3.727093,4.2877707,4.0186925
18,604.94836,2.9540427,3.317485,4.904672
19,1169.6105,3.8010154,4.485928,5.3543983
